timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/06/09 14:10:22.246, 0 %, 0 %, 1 MiB
2026/06/09 14:10:23.247, 0 %, 0 %, 1 MiB
2026/06/09 14:10:24.248, 0 %, 0 %, 1 MiB
2026/06/09 14:10:25.249, 0 %, 0 %, 1 MiB
2026/06/09 14:10:26.249, 0 %, 0 %, 1 MiB
2026/06/09 14:10:27.250, 0 %, 0 %, 1 MiB
2026/06/09 14:10:28.250, 0 %, 0 %, 1 MiB
2026/06/09 14:10:29.250, 0 %, 0 %, 1 MiB
2026/06/09 14:10:30.251, 0 %, 0 %, 1 MiB
2026/06/09 14:10:31.251, 0 %, 0 %, 1 MiB
2026/06/09 14:10:32.252, 0 %, 0 %, 1 MiB
2026/06/09 14:10:33.252, 0 %, 0 %, 1 MiB
2026/06/09 14:10:34.252, 0 %, 0 %, 1 MiB
2026/06/09 14:10:35.253, 0 %, 0 %, 1 MiB
2026/06/09 14:10:36.253, 0 %, 0 %, 1 MiB
2026/06/09 14:10:37.254, 0 %, 0 %, 1 MiB
2026/06/09 14:10:38.255, 0 %, 0 %, 1 MiB
2026/06/09 14:10:39.255, 0 %, 0 %, 1 MiB
2026/06/09 14:10:40.256, 0 %, 0 %, 1 MiB
2026/06/09 14:10:41.256, 0 %, 0 %, 1 MiB
2026/06/09 14:10:42.257, 0 %, 0 %, 1 MiB
2026/06/09 14:10:43.257, 0 %, 0 %, 1 MiB
2026/06/09 14:10:44.258, 0 %, 0 %, 1 MiB
2026/06/09 14:10:45.258, 0 %, 0 %, 1 MiB
2026/06/09 14:10:46.258, 0 %, 0 %, 1 MiB
2026/06/09 14:10:47.259, 0 %, 0 %, 1 MiB
2026/06/09 14:10:48.259, 0 %, 0 %, 1 MiB
2026/06/09 14:10:49.259, 0 %, 0 %, 1 MiB
2026/06/09 14:10:50.260, 0 %, 0 %, 1 MiB
2026/06/09 14:10:51.261, 0 %, 0 %, 1 MiB
2026/06/09 14:10:52.261, 0 %, 0 %, 1 MiB
2026/06/09 14:10:53.262, 0 %, 0 %, 1 MiB
2026/06/09 14:10:54.262, 0 %, 0 %, 1 MiB
2026/06/09 14:10:55.263, 0 %, 0 %, 1 MiB
2026/06/09 14:10:56.263, 0 %, 0 %, 1 MiB
2026/06/09 14:10:57.263, 0 %, 0 %, 1 MiB
2026/06/09 14:10:58.264, 0 %, 0 %, 1 MiB
2026/06/09 14:10:59.264, 0 %, 0 %, 1 MiB
2026/06/09 14:11:00.265, 0 %, 0 %, 1 MiB
2026/06/09 14:11:01.265, 0 %, 0 %, 1 MiB
2026/06/09 14:11:02.265, 0 %, 0 %, 1 MiB
2026/06/09 14:11:03.265, 0 %, 0 %, 1 MiB
2026/06/09 14:11:04.267, 0 %, 0 %, 1 MiB
2026/06/09 14:11:05.267, 0 %, 0 %, 1 MiB
2026/06/09 14:11:06.267, 0 %, 0 %, 1 MiB
2026/06/09 14:11:07.268, 0 %, 0 %, 1 MiB
2026/06/09 14:11:08.268, 0 %, 0 %, 1 MiB
2026/06/09 14:11:09.269, 0 %, 0 %, 1 MiB
2026/06/09 14:11:10.269, 0 %, 0 %, 1 MiB
2026/06/09 14:11:11.269, 0 %, 0 %, 1 MiB
2026/06/09 14:11:12.270, 0 %, 0 %, 1 MiB
2026/06/09 14:11:13.270, 0 %, 0 %, 1 MiB
2026/06/09 14:11:14.270, 0 %, 0 %, 1 MiB
2026/06/09 14:11:15.271, 0 %, 0 %, 1 MiB
2026/06/09 14:11:16.271, 0 %, 0 %, 1 MiB
2026/06/09 14:11:17.271, 0 %, 0 %, 1 MiB
2026/06/09 14:11:18.272, 0 %, 0 %, 1 MiB
2026/06/09 14:11:19.272, 0 %, 0 %, 1 MiB
2026/06/09 14:11:20.273, 0 %, 0 %, 1 MiB
2026/06/09 14:11:21.273, 0 %, 0 %, 1 MiB
2026/06/09 14:11:22.275, 0 %, 0 %, 1 MiB
2026/06/09 14:11:23.275, 0 %, 0 %, 1 MiB
2026/06/09 14:11:24.277, 0 %, 0 %, 1 MiB
2026/06/09 14:11:25.277, 0 %, 0 %, 1 MiB
2026/06/09 14:11:26.278, 0 %, 0 %, 1 MiB
2026/06/09 14:11:27.278, 0 %, 0 %, 1 MiB
