timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/06/09 13:33:53.218, 0 %, 0 %, 4 MiB
2026/06/09 13:33:54.218, 0 %, 0 %, 4 MiB
2026/06/09 13:33:55.219, 0 %, 0 %, 4 MiB
2026/06/09 13:33:56.219, 0 %, 0 %, 4 MiB
2026/06/09 13:33:57.219, 0 %, 0 %, 4 MiB
2026/06/09 13:33:58.220, 0 %, 0 %, 4 MiB
2026/06/09 13:33:59.220, 0 %, 0 %, 4 MiB
2026/06/09 13:34:00.221, 0 %, 0 %, 4 MiB
2026/06/09 13:34:01.221, 0 %, 0 %, 4 MiB
2026/06/09 13:34:02.221, 0 %, 0 %, 4 MiB
2026/06/09 13:34:03.221, 0 %, 0 %, 4 MiB
2026/06/09 13:34:04.222, 0 %, 0 %, 4 MiB
2026/06/09 13:34:05.222, 0 %, 0 %, 4 MiB
2026/06/09 13:34:06.222, 0 %, 0 %, 4 MiB
2026/06/09 13:34:07.223, 0 %, 0 %, 4 MiB
2026/06/09 13:34:08.223, 0 %, 0 %, 4 MiB
2026/06/09 13:34:09.224, 0 %, 0 %, 4 MiB
2026/06/09 13:34:10.224, 0 %, 0 %, 4 MiB
2026/06/09 13:34:11.224, 0 %, 0 %, 4 MiB
2026/06/09 13:34:12.225, 0 %, 0 %, 4 MiB
2026/06/09 13:34:13.225, 0 %, 0 %, 4 MiB
2026/06/09 13:34:14.225, 0 %, 0 %, 4 MiB
2026/06/09 13:34:15.226, 0 %, 0 %, 4 MiB
2026/06/09 13:34:16.226, 0 %, 0 %, 4 MiB
2026/06/09 13:34:17.226, 0 %, 0 %, 4 MiB
2026/06/09 13:34:18.227, 0 %, 0 %, 4 MiB
2026/06/09 13:34:19.227, 0 %, 0 %, 4 MiB
2026/06/09 13:34:20.227, 0 %, 0 %, 4 MiB
2026/06/09 13:34:21.228, 0 %, 0 %, 4 MiB
2026/06/09 13:34:22.228, 0 %, 0 %, 4 MiB
2026/06/09 13:34:23.229, 0 %, 0 %, 4 MiB
2026/06/09 13:34:24.229, 0 %, 0 %, 4 MiB
2026/06/09 13:34:25.229, 0 %, 0 %, 4 MiB
2026/06/09 13:34:26.230, 0 %, 0 %, 4 MiB
2026/06/09 13:34:27.230, 0 %, 0 %, 4 MiB
2026/06/09 13:34:28.230, 0 %, 0 %, 4 MiB
2026/06/09 13:34:29.231, 0 %, 0 %, 4 MiB
2026/06/09 13:34:30.231, 0 %, 0 %, 4 MiB
2026/06/09 13:34:31.232, 0 %, 0 %, 4 MiB
2026/06/09 13:34:32.232, 0 %, 0 %, 4 MiB
2026/06/09 13:34:33.233, 0 %, 0 %, 4 MiB
2026/06/09 13:34:34.233, 0 %, 0 %, 4 MiB
2026/06/09 13:34:35.233, 0 %, 0 %, 4 MiB
2026/06/09 13:34:36.234, 0 %, 0 %, 4 MiB
2026/06/09 13:34:37.234, 0 %, 0 %, 4 MiB
2026/06/09 13:34:38.234, 0 %, 0 %, 4 MiB
2026/06/09 13:34:39.235, 0 %, 0 %, 4 MiB
2026/06/09 13:34:40.235, 0 %, 0 %, 4 MiB
2026/06/09 13:34:41.236, 0 %, 0 %, 4 MiB
2026/06/09 13:34:42.236, 0 %, 0 %, 4 MiB
2026/06/09 13:34:43.236, 0 %, 0 %, 4 MiB
2026/06/09 13:34:44.237, 0 %, 0 %, 4 MiB
2026/06/09 13:34:45.237, 0 %, 0 %, 4 MiB
2026/06/09 13:34:46.238, 0 %, 0 %, 4 MiB
2026/06/09 13:34:47.238, 0 %, 0 %, 4 MiB
2026/06/09 13:34:48.238, 0 %, 0 %, 4 MiB
2026/06/09 13:34:49.239, 0 %, 0 %, 4 MiB
2026/06/09 13:34:50.239, 0 %, 0 %, 4 MiB
2026/06/09 13:34:51.239, 0 %, 0 %, 4 MiB
2026/06/09 13:34:52.240, 0 %, 0 %, 4 MiB
2026/06/09 13:34:53.240, 0 %, 0 %, 4 MiB
2026/06/09 13:34:54.240, 0 %, 0 %, 4 MiB
2026/06/09 13:34:55.241, 0 %, 0 %, 4 MiB
2026/06/09 13:34:56.241, 0 %, 0 %, 4 MiB
2026/06/09 13:34:57.241, 0 %, 0 %, 4 MiB
2026/06/09 13:34:58.242, 0 %, 0 %, 4 MiB
